//ID	Name	ICON	Model 1	Model 2	Model 3	Model 4	Model 5	Ship Symbol	ship siz number	Type	obtain prefix rate	set ID	Forging Level	Stable value	only ID	Trade	picked	Discard	Confirm to delete	stackable	is it instantiation	Price	Size	Character Level	Class	Character Nick	Character Reputation	item can equip location	item switch location	item obtain into location determine	Str modulus bonus	Agi modulus bonus	Dex modulus bonus	Con modulus bonus	Spr modulus bonus	Luk modulus bonus	Hit rate modulus bonus  	№Ґ»чѕаАлПµКэјУіЙ	Min attack modulus bonus 	Max Attack modulus bonus 	Defense modulus bonus       	Max HP modulus bonus	Mxsp modulus bonus	flee modulus bonus	Hit modulus bonus	crt modulus bonus	mf modulus bonus	hrec modulus bonus	srec modulus bonus	mspd modulus bonus	col modulus bonus	Strconstant bonus	Agiconstant bonus	Dexconstant bonus	Conconstant bonus	Staconstant bonus	Lukconstant bonus	№Ґ»чЖµВКіЈКэјУіЙ	Attack range constant bonus     	Min Attack constant bonus   	Max Attack constant bonus	·АУщіЈКэјУіЙ	Max HP constant bonus	Mxspconstant bonus	fleeconstant bonus	hitconstant bonus	crtconstant bonus	mfconstant bonus	hrecconstant bonus	srecconstant bonus	mspdconstant bonus	colconstant bonus	Physical Resist	item left hand exert identifier	Item Energy	Durability	Max instantiation hole value	Ship durability recovered	can contain cannon quantity	ship member count	member label	Cargo Capacity	Fuel consumption	Cannonball Path of Flight speed	ship movement speed	usage effect	display effect	item bind effect	item bind effect dummy	Display item effect (item put at object slot 1 to show effect)	item drop model effect	item usage effect	Description (Item level)	Remark
12	Разящий клинок	w0003	10100001	01010003	02010003	0	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	18742	2,1	35	1,8,9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	84,94	104,114	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	Двуручный меч	w0008	10100002	01020001	02020001	0	0	0	00	2	10	0	0	7	1	1	1	1	1	1	1	7691	2,1	15	1,8,9,10	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	69,109	95,147	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Нужно держать двумя руками из-за большого веса. Наносит больший урон, чем одноручное оружие	
14	Меч воина	w0009	10100002	01020002	02020002	0	0	0	00	2	10	0	0	7	1	1	1	1	1	1	1	26360	2,1	25	1,8,9,10	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	107,143	147,195	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Меч для доблестного воина	
15	Крис-меч	w0010	10100002	01020003	02020003	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	83593	2	40	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	161,203	219,277	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Крест	
16	Меч паладина	w0011	10100002	01020004	02020004	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	144700	2	50	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	203,243	275,331	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	Костяной меч	w0012	10100002	01020005	02020005	0	0	0	00	2	10	0	0	5	1	1	1	1	1	1	1	227003	2	60	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	243,279	329,381	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Изготовлен искусным кузнецом из кости дракона	
18	Громовой клинок	w0013	10100002	01020006	02020006	0	0	0	00	2	10	0	0	4	1	1	1	1	1	1	1	332529	2	70	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,17	0,17	0,17	0,17	0,17	0,0	0,0	0,0	279,315	379,427	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Легендарное оружие со свойствами молнии	
19	Ониксовый меч	w0014	10100002	01020007	02020007	0	0	0	00	2	10	0	0	4	1	1	1	1	1	1	1	463145	2	80	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,19	0,19	0,19	0,19	0,19	0,0	0,0	0,0	314,338	426,458	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	Меч бунтаря	w0208	10100002	01020023	02020023	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	111312	2	45	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	182,224	248,302	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	Ободряющий меч	w0210	10100002	01020026	02020026	0	0	0	00	2	10	0	0	6	1	1	1	1	1	1	1	182752	2	55	8	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	223,263	303,355	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	Сабля	w0004	10100001	01010004	02010004	0	0	0	00	1	10	0	0	6	1	1	1	1	1	1	1	34785	1	45	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	93,111	115,137	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	Меч иллюзий	w0005	10100001	01010005	02010005	0	0	0	00	1	10	0	0	5	1	1	1	1	1	1	1	57110	1	55	9,10	0	0	9,6	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	50,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,14	0,14	0,14	0,14	0,14	0,0	0,0	0,0	110,126	136,156	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	Сундук интриги	n1257	10130023	0	0	0	0	0	00	31	0	0	0	0	0	0	0	0	1	1	0	10	-1	0	-1	0	0	-1	-1	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,0	0,0	0	0	0	0	0	0	0	0	0	ItemUse_IDBOX	0	0	0	0	0	0	Сундук событий \"Пиратии\". Для 100 лучших игроков, достигших 60 ур. за самый короткий срок.	
25	Короткий лук	w0015	10100003	01030001	0	03030001	0	0	00	3	0	0	0	7	1	1	1	1	1	1	1	2031	1,3	10	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	40,74	46,84	0,0	0,0	0,0	0,0	3,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Лук малой дальнобойности	
26	Длинный лук	w0016	10100003	01030002	0	03030002	0	0	00	3	0	0	0	7	1	1	1	1	1	1	1	9794	1,3	20	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	74,106	82,118	0,0	0,0	0,0	0,0	7,8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Дальнобойный лук	
27	Туземный лук	w0017	10100003	01030003	0	03030003	0	0	00	3	0	0	0	6	1	1	1	1	1	1	1	25897	1,3	30	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	105,133	117,149	0,0	0,0	0,0	0,0	10,12	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Дальнобойный лук, сделанный из животных органов. Небольшой и легкий	
28	Метеоритный лук	w0018	10100003	01030004	0	03030004	0	0	00	3	0	0	0	6	1	1	1	1	1	1	1	37485	1,3	35	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	78,78	80,80	0,0	0,0	0,0	0,0	15,15	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Лук, выпускающий стрелы словно метеоры или кометы	
29	Лук Рекки	w0019	10100003	01030005	0	03030005	0	0	00	3	0	0	0	5	1	1	1	1	1	1	1	65859	1,3	44	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	95,95	111,111	0,0	0,0	0,0	0,0	17,17	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Лук, принесенный из адского пекла	
30	Лук Зари	w0020	10100003	01030006	0	03030006	0	0	00	3	0	0	0	4	1	1	1	1	1	1	1	104299	1,3	53	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	115,115	131,131	0,0	0,0	0,0	0,0	20,20	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Один из двух луков, созданный древним героем. Лук Зари и Лук Заката. 	
31	Лук Заката	w0021	10100003	01030007	0	03030007	0	0	00	3	0	0	0	4	1	1	1	1	1	1	1	153788	1,3	62	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	132,132	152,152	0,0	0,0	0,0	0,0	22,22	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Один из двух луков, созданный древним героем. Лук Зари и Лук Заката.	
32	Охотничий лук	w0263	10100003	01030009	0	03030009	0	0	00	3	0	0	0	7	1	1	1	1	1	1	1	4807	1,3	15	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	57,91	65,99	0,0	0,0	0,0	0,0	5,7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
33	Боевой Лук	w0265	10100003	01030011	0	03030011	0	0	00	3	0	0	0	7	1	1	1	1	1	1	1	16475	1,3	25	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	90,120	100,134	0,0	0,0	0,0	0,0	8,10	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	Точный лук	w0267	10100003	01030013	0	03030013	0	0	00	3	0	0	0	6	1	1	1	1	1	1	1	37485	1,3	35	2,11,12	0	0	6	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	119,149	133,167	0,0	0,0	0,0	0,0	12,13	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37	Мушкет	w0022	10100004	01040001	0	03040001	0	0	00	4	10	0	0	7	1	1	1	1	1	1	1	32950	1,3	25	2,11,12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-120,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,10	0,10	0,10	0,10	0,10	0,0	0,0	0,0	91,125	163,213	0,0	0,0	0,0	0,0	-5,-5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Миниатюрный мушкет	
38	Аркебуз	w0023	10100004	01040002	0	03040002	0	0	00	4	10	0	0	7	1	1	1	1	1	1	1	74970	1,3	35	2,11,12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-130,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,11	0,11	0,11	0,11	0,11	0,0	0,0	0,0	135,169	203,253	0,0	0,0	0,0	0,0	-7,-7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Использовано стандартное огнестрельное оружие. Однако скорость стрельбы низкая. 	
39	Изящный пистолет	w0024	10100004	01040003	0	03040003	0	0	00	4	10	0	0	6	1	1	1	1	1	1	1	104492	1,3	40	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-140,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,12	0,12	0,12	0,12	0,12	0,0	0,0	0,0	152,182	228,274	0,0	0,0	0,0	0,0	-8,-8	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Изящно украшенное и чрезвычайно ценное огнестрельное оружие	
40	Изящный аркебуз	w0025	10100004	01040004	0	03040004	0	0	00	4	10	0	0	6	1	1	1	1	1	1	1	180876	1,3	50	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-150,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,13	0,13	0,13	0,13	0,13	0,0	0,0	0,0	182,212	274,320	0,0	0,0	0,0	0,0	-10,-10	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41	Лазерная винтовка	w0026	10100004	01040005	0	03040005	0	0	00	4	10	0	0	5	1	1	1	1	1	1	1	283754	1,3	60	12	0	0	9	9,6	0	0,0	0,0	0,0	0,0	0,0	0,0	-160,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,15	0,15	0,15	0,15	0,15	0,0	0,0	0,0	212,238	318,360	0,0	0,0	0,0	0,0	-12,-12	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0,1000	10000,10000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
